Atlas	Species	Section	Developmental stage	Sex	Technology	Kind	Tissue	Disease	Spatial clustering	H&E	Download	ExploreId	n_obs	n_genes
cima	Homo sapiens / 人	PBMCs.h5ad	Adult		DNBelab C4	snrna	Blood		https://db.cngb.org/trueblood/cima/		https://ftp.cngb.org/pub/SciRAID/trueblood/cima/CIMA_Resource/Cell_Atlas/CIMA_RNA_6484974cells_36326genes_compressed.h5ad	CIMA_PBMCs	6484974	36326
cima	Homo sapiens / 人	CD4T.h5ad	Adult		DNBelab C4	snrna	Blood, CD4T		https://db.cngb.org/trueblood/cima/		https://ftp.cngb.org/pub/SciRAID/trueblood/cima/CIMA_Resource/Cell_Atlas/CIMA_RNA_CD4T_2320103cells_36326genes_compressed_20260305.h5ad	CIMA_CD4T	2320103	36326
cima	Homo sapiens / 人	CD8T.h5ad	Adult		DNBelab C4	snrna	Blood, CD8T		https://db.cngb.org/trueblood/cima/		https://ftp.cngb.org/pub/SciRAID/trueblood/cima/CIMA_Resource/Cell_Atlas/CIMA_RNA_CD8T_2340449cells_36326genes_compressed_20260305.h5ad	CIMA_CD8T	2340449	36326
cima	Homo sapiens / 人	B.h5ad	Adult		DNBelab C4	snrna	Blood, B		https://db.cngb.org/trueblood/cima/		https://ftp.cngb.org/pub/SciRAID/trueblood/cima/CIMA_Resource/Cell_Atlas/CIMA_RNA_B_566569cells_36326genes_compressed_20260305.h5ad	CIMA_B	566569	36326
cima	Homo sapiens / 人	Myeloid.h5ad	Adult		DNBelab C4	snrna	Blood, Myeloid		https://db.cngb.org/trueblood/cima/		https://ftp.cngb.org/pub/SciRAID/trueblood/cima/CIMA_Resource/Cell_Atlas/CIMA_RNA_Myeloid_754770cells_36326genes_compressed_20260305.h5ad	CIMA_Myeloid	754770	36326
cima	Homo sapiens / 人	NK.h5ad	Adult		DNBelab C4	snrna	Blood, NK		https://db.cngb.org/trueblood/cima/		https://ftp.cngb.org/pub/SciRAID/trueblood/cima/CIMA_Resource/Cell_Atlas/CIMA_RNA_NK_503083cells_36326genes_compressed_20260305.h5ad	CIMA_NK	503083	36326
