Atlas	Species	Section	Developmental stage	Sex	Technology	Kind	Tissue	Disease	Spatial clustering	H&E	Download	ExploreId	n_obs	n_genes
hesta	Homo sapiens / 人	CS19_CS20_CS23_snRNA_HESTA.h5ad	CS19,CS20,CS23	Female/Male	DNBelab C4	spatial	Adrenal Gland, Blood Vessel, Bone, Brain, Cartilage, Cavity, Choroid Plexus, Connective Tissue, Cranial Skeleton, Epidermis, Erythroblasts, Eye, Ganglion, Gonad, Gut, Heart, Inner Ear, Jaw and Tooth, Kidney, Liver, Lung, Meninges, Mesonephron, Pancreas, Pharyngeal, Sclerotome, Skeletal Muscle, Spinal Cord, Stomach, Thymus, Thyroid, Trachea		https://db.cngb.org/stomics/assets/img/hesta/spatial.clustering/single-cell.png		https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS19_CS20_CS23_snRNA_HESTA.h5ad	embryodev_CS19_CS20_CS23_snRNA_HESTA	607093	29480
hesta	Homo sapiens / 人	CS12-13_E2_3D_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Ganglion, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Neural Crest, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/hesta/spatial.clustering/3d.png		https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2_3D_HESTA.h5ad	embryodev_CS12-13_E2_3D_HESTA	93995	29333
hesta	Homo sapiens / 人	CS12-13_E1S1_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Brain, Branchial Arch, Epidermis, Erythroblasts, Heart, Mesenchyme, Mesonephron		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S1_PCW4_E1_S2_FP200000607TR_D4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S1_HESTA.h5ad	embryodev_CS12-13_E1S1_HESTA	5819	32712
hesta	Homo sapiens / 人	CS12-13_E1S2_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Brain, Branchial Arch, Epidermis, Erythroblasts, Ganglion, Heart, Liver, Mesenchyme, Mesonephron, Pharyngeal, Primitive Gut, Somite		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S2_PCW4_E1_S6_FP200000607TR_E3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S2_HESTA.h5ad	embryodev_CS12-13_E1S2_HESTA	7405	35421
hesta	Homo sapiens / 人	CS12-13_E1S3_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Branchial Arch, Cavity, Erythroblasts, Ganglion, Heart, Inner Ear, Mesenchyme, Mesonephron, Pharyngeal, Primitive Gut, Somite, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S3_PCW4_E1_S7_FP200000623TL_F5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S3_HESTA.h5ad	embryodev_CS12-13_E1S3_HESTA	6824	36612
hesta	Homo sapiens / 人	CS12-13_E1S4_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Brain, Erythroblasts, Ganglion, Inner Ear, Meninges, Mesenchyme, Somite		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S4_PCW4_E1_S9_FP200000623TL_F6.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S4_HESTA.h5ad	embryodev_CS12-13_E1S4_HESTA	3860	33970
hesta	Homo sapiens / 人	CS12-13_E2S1_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Neural Crest, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S1_PCW3_E1_S1_FP200000553BL_D1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S1_HESTA.h5ad	embryodev_CS12-13_E2S1_HESTA	12138	40249
hesta	Homo sapiens / 人	CS12-13_E2S2_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Heart, Hepatic Diverticulum, Inner Ear, Lung Primordium, Meninges, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S2_PCW3_E1_S2_FP200000553BL_D2.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S2_HESTA.h5ad	embryodev_CS12-13_E2S2_HESTA	11123	40086
hesta	Homo sapiens / 人	CS12-13_E2S3_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Neural Crest, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S3_PCW3_E1_S3_FP200000553BL_D3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S3_HESTA.h5ad	embryodev_CS12-13_E2S3_HESTA	13257	42266
hesta	Homo sapiens / 人	CS12-13_E2S4_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Ganglion, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S4_PCW3_E1_S4_FP200000553BL_D5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S4_HESTA.h5ad	embryodev_CS12-13_E2S4_HESTA	12865	38786
hesta	Homo sapiens / 人	CS12-13_E2S5_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesenchyme, Neural Crest, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S5.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S5_PCW3_E1_S5_FP200000553BL_E1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S5_HESTA.h5ad	embryodev_CS12-13_E2S5_HESTA	11259	37481
hesta	Homo sapiens / 人	CS12-13_E2S6_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Inner Ear,Limb Ectoderm, Meninges, Mesonephron, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S6.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S6_PCW3_E1_S6_FP200000549TR_A1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S6_HESTA.h5ad	embryodev_CS12-13_E2S6_HESTA	14843	38026
hesta	Homo sapiens / 人	CS12-13_E2S7_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S7.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S7_PCW3_E1_S7_FP200000553BL_F5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S7_HESTA.h5ad	embryodev_CS12-13_E2S7_HESTA	9603	37220
hesta	Homo sapiens / 人	CS12-13_E2S8_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Branchial Arch, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Limb Ectoderm, Mesonephron, Neural Crest, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S8.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S8_PCW3_E1_S8_FP200000553BL_F4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S8_HESTA.h5ad	embryodev_CS12-13_E2S8_HESTA	8906	38410
hesta	Homo sapiens / 人	CS14-15_E1S1_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cavity, Erythroblasts, Ganglion, Gut, Heart, Inner Ear, Limb Bud, Liver, Mesonephron, Sclerotome, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E1S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E1S1_PCW4_E3_S1_SS200000863BR_D4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E1S1_HESTA.h5ad	embryodev_CS14-15_E1S1_HESTA	18374	41231
hesta	Homo sapiens / 人	CS14-15_E1S2_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Gut, Heart, Limb Bud, Liver, Lung Primordium, Mesonephron, Myotome, Sclerotome, Septum Transversum, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E1S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E1S2_PCW4_E3_S2_SS200000863BR_E6.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E1S2_HESTA.h5ad	embryodev_CS14-15_E1S2_HESTA	21014	40752
hesta	Homo sapiens / 人	CS14-15_E1S3_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cavity, Erythroblasts, Gut, Heart, Limb Bud, Liver, Lung Primordium, Mesonephron, Myotome, Pronephron, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E1S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E1S3_PCW4_E3_S3_SS200000863BR_F2.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E1S3_HESTA.h5ad	embryodev_CS14-15_E1S3_HESTA	20637	41490
hesta	Homo sapiens / 人	CS14-15_E1S4_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Eye, Gut, Heart, Limb Bud, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Myotome, Pancreas, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E1S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E1S4_PCW4_E3_S4_SS200000863BR_F5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E1S4_HESTA.h5ad	embryodev_CS14-15_E1S4_HESTA	22476	40846
hesta	Homo sapiens / 人	CS14-15_E2S1_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Branchial Arch, Cavity, Connective Tissue, Erythroblasts, Eye, Ganglion, Gut, Heart, Inner Ear, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Myotome, Sclerotome, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S1_PCW5_E2_S1_SS200000128TR_D3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S1_HESTA.h5ad	embryodev_CS14-15_E2S1_HESTA	16470	42580
hesta	Homo sapiens / 人	CS14-15_E2S2_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Branchial Arch, Cavity, Cloaca, Epidermis, Erythroblasts, Extraembryonic Tissue, Eye, Gut, Heart, Inner Ear, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Myotome, Sclerotome, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S2_PCW5_E2_S2_SS200000128TR_E1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S2_HESTA.h5ad	embryodev_CS14-15_E2S2_HESTA	17782	41775
hesta	Homo sapiens / 人	CS14-15_E2S3_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cloaca, Connective Tissue, Epidermis, Erythroblasts, Extraembryonic Tissue, Eye, Gut, Heart, Inner Ear, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Myotome, Sclerotome, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S3_PCW5_E2_S3_SS200000128TR_E3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S3_HESTA.h5ad	embryodev_CS14-15_E2S3_HESTA	19800	43042
hesta	Homo sapiens / 人	CS14-15_E2S4_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Extraembryonic Tissue, Ganglion, Gut, Heart, Inner Ear, Liver, Lung Primordium, Mesenchyme, Mesonephron, Myotome, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S4_PCW5_E2_S4_SS200000132TL_D1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S4_HESTA.h5ad	embryodev_CS14-15_E2S4_HESTA	16872	41287
hesta	Homo sapiens / 人	CS14-15_E2S5_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Connective Tissue, Erythroblasts, Ganglion, Gut, Heart, Inner Ear, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S5.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S5_PCW5_E2_S5_SS200000132TL_D2.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S5_HESTA.h5ad	embryodev_CS14-15_E2S5_HESTA	21129	41613
hesta	Homo sapiens / 人	CS14-15_E2S6_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Ganglion, Gut, Heart, Inner Ear, Liver, Mesenchyme, Mesonephron, Notochord, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S6.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S6_PCW5_E2_S6_SS200000132TL_D4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S6_HESTA.h5ad	embryodev_CS14-15_E2S6_HESTA	19662	40893
hesta	Homo sapiens / 人	CS14-15_E2S7_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Gut, Heart, Liver, Lung Primordium, Meninges, Mesenchyme, Notochord, Pancreas, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S7.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S7_PCW5_E2_S7_SS200000132TL_D5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S7_HESTA.h5ad	embryodev_CS14-15_E2S7_HESTA	23195	41385
hesta	Homo sapiens / 人	CS14-15_E2S8_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Heart, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S8.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S8_PCW5_E2_S8_SS200000130TR_F3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S8_HESTA.h5ad	embryodev_CS14-15_E2S8_HESTA	19803	40804
hesta	Homo sapiens / 人	CS14-15_E2S9_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Ganglion, Gut, Heart, Liver, Lung Primordium, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S9.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S9_PCW5_E2_S9_SS200000130TR_F4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S9_HESTA.h5ad	embryodev_CS14-15_E2S9_HESTA	18797	40069
hesta	Homo sapiens / 人	CS14-15_E2S10_HESTA.h5ad	CS14-15	Female	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Ganglion, Gut, Heart, Liver, Lung Primordium, Mesenchyme, Mesonephron, Myotome, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E2S10.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E2S10_PCW5_E2_S10_SS200000130TR_E5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E2S10_HESTA.h5ad	embryodev_CS14-15_E2S10_HESTA	22203	39623
hesta	Homo sapiens / 人	CS14-15_E3S1_HESTA.h5ad	CS14-15	Male	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Erythroblasts, Eye, Ganglion, Gut, Heart, Inner Ear, Limb Bud, Liver, Lung Primordium, Mesenchyme, Mesonephron, Myotome, Pronephron, Sclerotome, Septum Transversum, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E3S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E3S1_PCW5_E3_S1_SS200000134TR_D1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E3S1_HESTA.h5ad	embryodev_CS14-15_E3S1_HESTA	25535	43051
hesta	Homo sapiens / 人	CS14-15_E3S2_HESTA.h5ad	CS14-15	Male	Stereo-seq	spatial	Blood Vessel, Branchial Arch, Cloaca, Erythroblasts, Eye, Ganglion, Gut, Heart, Inner Ear, Limb Bud, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Myotome, Pronephron, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E3S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E3S2_PCW5_E3_S2_SS200000134TR_D2.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E3S2_HESTA.h5ad	embryodev_CS14-15_E3S2_HESTA	31576	42396
hesta	Homo sapiens / 人	CS14-15_E3S3_HESTA.h5ad	CS14-15	Male	Stereo-seq	spatial	Blood Vessel, Branchial Arch, Cavity, Erythroblasts, Eye, Ganglion, Gut, Heart, Limb Bud, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Notochord, Sclerotome, Septum Transversum, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E3S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E3S3_PCW5_E3_S3_SS200000340TR_C1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E3S3_HESTA.h5ad	embryodev_CS14-15_E3S3_HESTA	32816	41539
hesta	Homo sapiens / 人	CS14-15_E3S4_HESTA.h5ad	CS14-15	Male	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Erythroblasts, Gut, Heart, Limb Bud, Liver, Lung Primordium, Meninges, Mesonephron, Sclerotome, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS14-15_E3S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS14-15_E3S4_PCW5_E3_S4_SS200000134TR_E2.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS14-15_E3S4_HESTA.h5ad	embryodev_CS14-15_E3S4_HESTA	37379	41356
hesta	Homo sapiens / 人	CS17_E1S1_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Brain, Branchial Arch, Cavity, Connective Tissue, Epidermis, Erythroblasts, Extraembryonic Tissue, Eye, Heart, Inner Ear, Limb Bud, Liver, Meninges, Mesenchyme, Septum Transversum		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S1_PCW6_E1_S1_SS200000149TL_B1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S1_HESTA.h5ad	embryodev_CS17_E1S1_HESTA	44531	43559
hesta	Homo sapiens / 人	CS17_E1S2_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Brain, Branchial Arch, Cavity, Connective Tissue, Endothelium, Epidermis, Erythroblasts, Extraembryonic Tissue, Eye, Ganglion, Heart, Inner Ear, Limb Bud, Liver, Meninges, Mesenchyme, Myotome, Sclerotome		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S2_PCW6_E1_S2_SS200000149TL_C4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S2_HESTA.h5ad	embryodev_CS17_E1S2_HESTA	47670	44532
hesta	Homo sapiens / 人	CS17_E1S3_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Brain, Branchial Arch, Cavity, Connective Tissue, Epidermis, Erythroblasts, Extraembryonic Tissue, Ganglion, Heart, Limb Bud, Liver, Meninges, Mesenchyme, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S3_PCW6_E1_S3_SS200000149TL_B4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S3_HESTA.h5ad	embryodev_CS17_E1S3_HESTA	52366	45339
hesta	Homo sapiens / 人	CS17_E1S4_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Endothelium, Epidermis, Erythroblasts, Extraembryonic Tissue, Ganglion, Heart, Limb Bud, Liver, Meninges, Myotome, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S4_PCW6_E1_S4_SS200000148TL_C4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S4_HESTA.h5ad	embryodev_CS17_E1S4_HESTA	59423	45516
hesta	Homo sapiens / 人	CS17_E1S5_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Connective Tissue, Epidermis, Erythroblasts, Extraembryonic Tissue, Ganglion, Heart, Liver, Meninges, Mesenchyme, Myotome, Sclerotome		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S5.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S5_PCW6_E1_S5_SS200000148TL_B6.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S5_HESTA.h5ad	embryodev_CS17_E1S5_HESTA	62655	44351
hesta	Homo sapiens / 人	CS17_E1S6_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Brain, Branchial Arch, Cavity, Connective Tissue, Epidermis, Erythroblasts, Extraembryonic Tissue, Ganglion, Heart, Limb Bud, Liver, Lung Primordium, Meninges, Mesonephron, Myotome, Pronephron, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S6.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S6_PCW6_E1_S6_SS200000148TL_C6.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S6_HESTA.h5ad	embryodev_CS17_E1S6_HESTA	56279	46371
hesta	Homo sapiens / 人	CS17_E1S7_HESTA.h5ad	CS17	Male	Stereo-seq	spatial	Blood Vessel, Brain, Branchial Arch, Cavity, Connective Tissue, Epidermis, Erythroblasts, Extraembryonic Tissue, Ganglion, Gut, Heart, Limb Bud, Liver, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Myotome, Sclerotome, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS17_E1S7.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS17_E1S7_PCW6_E1_S7_SS200000149TL_B6.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS17_E1S7_HESTA.h5ad	embryodev_CS17_E1S7_HESTA	65443	44092
