row_key	Atlas	dataset_title	pmid	doi	portal_url	citation	paper_figures
stds0000073|GSM4100726_spatial_transcriptomics_processed.h5ad	STDS0000073	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas 9606	31932730	10.1038/s41587-019-0392-8	https://db.cngb.org/stomics/datasets/STDS0000073/	Moncada, Reuben et al. “Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas.” Nature biotechnology vol. 38,3 (2020): 333-342. doi:10.1038/s41587-019-0392-8	
stds0000073|GSM4100727_spatial_transcriptomics_processed.h5ad	STDS0000073	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas 9606	31932730	10.1038/s41587-019-0392-8	https://db.cngb.org/stomics/datasets/STDS0000073/	Moncada, Reuben et al. “Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas.” Nature biotechnology vol. 38,3 (2020): 333-342. doi:10.1038/s41587-019-0392-8	
stds0000074|GSE123187_SvdB12f2-6-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutb_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12f2-6-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutc_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12f2-6-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutt_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12f2-7-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutb_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12f2-7-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutc_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12f2-7-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutt_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-2-Tomo-20um-E8p85MouseEmbryo2-Plate1-Run1_cbc_trimmed_star_spliced.coutb_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-2-Tomo-20um-E8p85MouseEmbryo2-Plate1-Run1_cbc_trimmed_star_spliced.coutc_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-2-Tomo-20um-E8p85MouseEmbryo2-Plate1-Run1_cbc_trimmed_star_spliced.coutt_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-3-Tomo-20um-E8p75MouseEmbryo2-Plate2-Run1_cbc_trimmed_star_spliced.coutb_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-3-Tomo-20um-E8p75MouseEmbryo2-Plate2-Run1_cbc_trimmed_star_spliced.coutc_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-3-Tomo-20um-E8p75MouseEmbryo2-Plate2-Run1_cbc_trimmed_star_spliced.coutt_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-4-Tomo-20um-E8p75MouseEmbryo2-Plate3-Run1_cbc_trimmed_star_spliced.coutb_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-4-Tomo-20um-E8p75MouseEmbryo2-Plate3-Run1_cbc_trimmed_star_spliced.coutc_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h-2-4-Tomo-20um-E8p75MouseEmbryo2-Plate3-Run1_cbc_trimmed_star_spliced.coutt_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h1-2-1-Tomo-20um-E7p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutb_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
stds0000074|GSE123187_SvdB12h1-2-1-Tomo-20um-E7p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutc_processed.h5ad	STDS0000074	Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids	32076263	10.1038/s41586-020-2024-3	https://db.cngb.org/stomics/datasets/STDS0000074/	van den Brink, Susanne C et al. “Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids.” Nature vol. 582,7812 (2020): 405-409. doi:10.1038/s41586-020-2024-3	
